"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","938","Listar todos os cupons cadastrados","","2026-01-22","passed","2026-01-22","","","",""
"","1162","Não permitir cadastro de cupom com nome duplicado","","2026-01-22","passed","2026-01-22","","","",""
"","1215","Validar contrato do cupom retornado pela API","","2026-01-22","passed","2026-01-22","","","",""
"","1076","Não permitir cadastro de cupom com dados obrigatórios inválidos - Descrição ausente","","2026-01-22","failed","2026-01-22","","","",""
"","963","Não permitir acesso à listagem de cupons - Sem autenticação","","2026-01-22","passed","2026-01-22","","","",""
"","910","Não permitir cadastro de cupom com dados obrigatórios inválidos - Código ausente","","2026-01-22","passed","2026-01-22","","","",""
"","914","Não permitir acesso à listagem de cupons - Com autenticação inválida","","2026-01-22","passed","2026-01-22","","","",""
"","609","Não permitir cadastro de cupom com dados obrigatórios inválidos - Tipo de desconto inválido","","2026-01-22","passed","2026-01-22","","","",""
"","2693","Buscar cupom por ID com sucesso","","2026-01-22","passed","2026-01-22","","","",""
"","1082","Não permitir cadastro de cupom com dados obrigatórios inválidos - Valor ausente","","2026-01-22","failed","2026-01-22","","","",""
"","2482","Permitir cadastro de cupom com sucesso","","2026-01-22","passed","2026-01-22","","","",""
"","1489","Validar contrato do cupom retornado no cadastro","","2026-01-22","passed","2026-01-22","","","",""
"","576","Não permitir cadastro de cupom com autenticação inválida","","2026-01-22","passed","2026-01-22","","","",""
